year;stars;forks;topic
2013;0;0;1000genomes
2016;0;0;1000genomes
2017;0;0;1000genomes
2018;0;0;1000genomes
2019;0;0;1000genomes
2020;0;0;1000genomes
2021;0;0;1000genomes
2022;20;4;1000genomes
2023;20;0;1000genomes
2024;20;0;1000genomes
2025;20;0;1000genomes
2013;0;0;10x
2016;0;0;10x
2017;0;0;10x
2018;0;0;10x
2019;0;0;10x
2020;0;0;10x
2021;0;0;10x
2022;0;0;10x
2023;0;0;10x
2024;857;181;10x
2025;857;0;10x
2013;0;0;10xgenomics
2016;0;0;10xgenomics
2017;0;0;10xgenomics
2018;0;0;10xgenomics
2019;0;0;10xgenomics
2020;0;0;10xgenomics
2021;0;0;10xgenomics
2022;21;2;10xgenomics
2023;84;13;10xgenomics
2024;179;16;10xgenomics
2025;179;0;10xgenomics
2013;0;0;16s
2016;0;0;16s
2017;0;0;16s
2018;0;0;16s
2019;0;0;16s
2020;41;4;16s
2021;79;20;16s
2022;79;0;16s
2023;130;53;16s
2024;130;0;16s
2025;130;0;16s
2013;0;0;16s-rrna
2016;0;0;16s-rrna
2017;0;0;16s-rrna
2018;0;0;16s-rrna
2019;0;0;16s-rrna
2020;0;0;16s-rrna
2021;0;0;16s-rrna
2022;0;0;16s-rrna
2023;0;0;16s-rrna
2024;122;39;16s-rrna
2025;122;0;16s-rrna
2013;0;0;2019-ncov
2016;0;0;2019-ncov
2017;0;0;2019-ncov
2018;0;0;2019-ncov
2019;0;0;2019-ncov
2020;0;0;2019-ncov
2021;0;0;2019-ncov
2022;0;0;2019-ncov
2023;118;24;2019-ncov
2024;118;0;2019-ncov
2025;118;0;2019-ncov
2013;0;0;23andme
2016;0;0;23andme
2017;64;6;23andme
2018;64;0;23andme
2019;185;7;23andme
2020;185;0;23andme
2021;185;0;23andme
2022;185;0;23andme
2023;185;0;23andme
2024;185;0;23andme
2025;185;0;23andme
2013;0;0;2d-images-of-compounds
2016;0;0;2d-images-of-compounds
2017;0;0;2d-images-of-compounds
2018;0;0;2d-images-of-compounds
2019;0;0;2d-images-of-compounds
2020;0;0;2d-images-of-compounds
2021;0;0;2d-images-of-compounds
2022;0;0;2d-images-of-compounds
2023;0;0;2d-images-of-compounds
2024;114;44;2d-images-of-compounds
2025;114;0;2d-images-of-compounds
2013;0;0;3c
2016;0;0;3c
2017;0;0;3c
2018;26;10;3c
2019;26;0;3c
2020;26;0;3c
2021;26;0;3c
2022;26;0;3c
2023;26;0;3c
2024;26;0;3c
2025;26;0;3c
2013;0;0;3d
2016;0;0;3d
2017;0;0;3d
2018;0;0;3d
2019;0;0;3d
2020;0;0;3d
2021;0;0;3d
2022;20;5;3d
2023;20;0;3d
2024;20;0;3d
2025;20;0;3d
2013;0;0;3d-genome
2016;0;0;3d-genome
2017;0;0;3d-genome
2018;26;10;3d-genome
2019;26;0;3d-genome
2020;26;0;3d-genome
2021;26;0;3d-genome
2022;140;18;3d-genome
2023;140;0;3d-genome
2024;140;0;3d-genome
2025;613;193;3d-genome
2013;0;0;3d-genome-browser
2016;0;0;3d-genome-browser
2017;0;0;3d-genome-browser
2018;0;0;3d-genome-browser
2019;0;0;3d-genome-browser
2020;0;0;3d-genome-browser
2021;0;0;3d-genome-browser
2022;0;0;3d-genome-browser
2023;0;0;3d-genome-browser
2024;0;0;3d-genome-browser
2025;473;193;3d-genome-browser
2013;0;0;3d-point-clouds
2016;0;0;3d-point-clouds
2017;0;0;3d-point-clouds
2018;0;0;3d-point-clouds
2019;0;0;3d-point-clouds
2020;0;0;3d-point-clouds
2021;163;28;3d-point-clouds
2022;1350;156;3d-point-clouds
2023;1350;0;3d-point-clouds
2024;1350;0;3d-point-clouds
2025;1350;0;3d-point-clouds
2013;0;0;3d-structure
2016;0;0;3d-structure
2017;0;0;3d-structure
2018;0;0;3d-structure
2019;0;0;3d-structure
2020;0;0;3d-structure
2021;0;0;3d-structure
2022;0;0;3d-structure
2023;0;0;3d-structure
2024;123;42;3d-structure
2025;123;0;3d-structure
2013;0;0;acmg
2016;0;0;acmg
2017;0;0;acmg
2018;0;0;acmg
2019;0;0;acmg
2020;0;0;acmg
2021;0;0;acmg
2022;99;37;acmg
2023;99;0;acmg
2024;99;0;acmg
2025;99;0;acmg
2013;0;0;adapter
2016;0;0;adapter
2017;0;0;adapter
2018;0;0;adapter
2019;0;0;adapter
2020;0;0;adapter
2021;0;0;adapter
2022;0;0;adapter
2023;0;0;adapter
2024;0;0;adapter
2025;2257;366;adapter
2013;0;0;adapter-trimming
2016;0;0;adapter-trimming
2017;0;0;adapter-trimming
2018;0;0;adapter-trimming
2019;0;0;adapter-trimming
2020;212;53;adapter-trimming
2021;212;0;adapter-trimming
2022;212;0;adapter-trimming
2023;212;0;adapter-trimming
2024;212;0;adapter-trimming
2025;212;0;adapter-trimming
2013;0;0;admin
2016;0;0;admin
2017;0;0;admin
2018;0;0;admin
2019;0;0;admin
2020;0;0;admin
2021;0;0;admin
2022;0;0;admin
2023;472;59;admin
2024;472;0;admin
2025;472;0;admin
2013;0;0;adversarial-machine-learning
2016;0;0;adversarial-machine-learning
2017;0;0;adversarial-machine-learning
2018;0;0;adversarial-machine-learning
2019;0;0;adversarial-machine-learning
2020;0;0;adversarial-machine-learning
2021;29;3;adversarial-machine-learning
2022;29;0;adversarial-machine-learning
2023;29;0;adversarial-machine-learning
2024;29;0;adversarial-machine-learning
2025;29;0;adversarial-machine-learning
2013;0;0;adversarial-networks
2016;0;0;adversarial-networks
2017;0;0;adversarial-networks
2018;0;0;adversarial-networks
2019;0;0;adversarial-networks
2020;0;0;adversarial-networks
2021;29;3;adversarial-networks
2022;29;0;adversarial-networks
2023;29;0;adversarial-networks
2024;29;0;adversarial-networks
2025;29;0;adversarial-networks
2013;0;0;ai
2016;0;0;ai
2017;0;0;ai
2018;0;0;ai
2019;0;0;ai
2020;0;0;ai
2021;0;0;ai
2022;20;5;ai
2023;20;0;ai
2024;238;15;ai
2025;238;0;ai
2013;0;0;ai-scientist
2016;0;0;ai-scientist
2017;0;0;ai-scientist
2018;0;0;ai-scientist
2019;0;0;ai-scientist
2020;0;0;ai-scientist
2021;0;0;ai-scientist
2022;0;0;ai-scientist
2023;0;0;ai-scientist
2024;0;0;ai-scientist
2025;2513;293;ai-scientist
2013;0;0;ai4science
2016;0;0;ai4science
2017;0;0;ai4science
2018;0;0;ai4science
2019;0;0;ai4science
2020;0;0;ai4science
2021;0;0;ai4science
2022;0;0;ai4science
2023;34;14;ai4science
2024;34;0;ai4science
2025;34;0;ai4science
2013;0;0;algorithm
2016;0;0;algorithm
2017;0;0;algorithm
2018;21;8;algorithm
2019;21;0;algorithm
2020;21;0;algorithm
2021;95;27;algorithm
2022;236;19;algorithm
2023;236;0;algorithm
2024;501;69;algorithm
2025;501;0;algorithm
2013;0;0;algorithms
2016;0;0;algorithms
2017;0;0;algorithms
2018;80;48;algorithms
2019;117;5;algorithms
2020;246;4;algorithms
2021;349;23;algorithms
2022;376;1;algorithms
2023;376;0;algorithms
2024;513;9;algorithms
2025;513;0;algorithms
2013;19;7;alignment
2016;19;0;alignment
2017;19;0;alignment
2018;32;5;alignment
2019;52;5;alignment
2020;148;6;alignment
2021;347;29;alignment
2022;438;31;alignment
2023;693;46;alignment
2024;1631;102;alignment
2025;4164;410;alignment
2013;0;0;alignment-algorithm
2016;0;0;alignment-algorithm
2017;0;0;alignment-algorithm
2018;13;5;alignment-algorithm
2019;13;0;alignment-algorithm
2020;13;0;alignment-algorithm
2021;13;0;alignment-algorithm
2022;13;0;alignment-algorithm
