name;stars;created;forks;topics;language;selected_year
lh3/fermi;75;2012-01-06;15;['bioinformatics', 'denovo-assembly', 'genomics'];C;2013
mpieva/mapping-iterative-assembler;19;2012-07-02;7;['alignment', 'bioinformatics', 'consensus-calling', 'contamination', 'genomics', 'mitochondria'];C;2013
bio4j/bio4j;120;2011-01-31;19;['bio4j', 'bio4j-titan', 'bioinformatics', 'database', 'gene-ontology', 'graph', 'graph-data', 'graph-database', 'graph-databases', 'graph-queries', 'graph-schema', 'java', 'java-8', 'ncbi-taxonomy', 'property-graph', 'protein', 'proteins', 'titan', 'uniprot', 'uniref'];Java;2016
lh3/bfc;74;2014-12-30;12;['bioinformatics', 'genomics'];TeX;2016
seandavi/ngCGH;18;2011-02-25;9;['bioinformatics', 'cancer-genomics', 'genomics', 'python', 'sequencing'];Python;2016
ChillarAnand/fadapa;16;2014-10-16;11;['bioinformatics', 'fastqc', 'python'];Jupyter Notebook;2016
drewwiens/TensorFlow-DNNs-for-Predicting-DNA-Transcription-Factor-Binding;15;2016-12-01;7;['bioinformatics', 'deep-neural-networks', 'dna-sequences', 'machine-learning', 'tensorflow', 'transcription-factors'];Python;2016
shenwei356/gtaxon;14;2016-02-13;2;['bioinformatics', 'client', 'golang', 'lca', 'restful', 'server', 'taxonomy'];Go;2016
mikessh/oncofuse;12;2014-06-24;4;['bioinformatics', 'fusion', 'rna-seq'];Groovy;2016
twbattaglia/RNAseq-workflow;450;2017-01-11;181;['bioinformatics', 'genes', 'pipeline', 'rna-seq', 'science', 'sequencing', 'workflow'];R;2017
slowkow/snakefiles;94;2015-11-24;36;['bioinformatics', 'high-performance-computing', 'lsf-jobs', 'python', 'rna-seq', 'snakemake'];Python;2017
slowkow/pytabix;82;2014-04-16;10;['bam-files', 'bioinformatics'];C;2017
wurmlab/oswitch;75;2014-11-25;9;['bioinformatics', 'data-science', 'docker', 'virtualization'];Ruby;2017
cslarsen/dna-traits;64;2014-01-05;6;['23andme', 'bioinformatics', 'dna', 'genomics', 'health-report', 'python', 'snpedia', 'snps'];Python;2017
brentp/hts-python;49;2014-09-03;18;['bam', 'bioinformatics', 'fasta', 'genomics', 'htslib', 'python', 'sam'];Python;2017
lmweber/cytometry-clustering-comparison;45;2015-10-07;14;['bioinformatics', 'clustering', 'comparison', 'cytof', 'flow-cytometry', 'mass-cytometry', 'single-cell'];R;2017
