year;stars;forks;language
2012;0;0;C
2013;0;0;C
2014;0;0;C
2015;0;0;C
2016;110;10;C
2017;145;30;C
2018;922;210;C
2019;586;231;C
2020;3310;513;C
2021;1724;120;C
2022;524;146;C
2023;2400;231;C
2024;1673;394;C
2025;20478;2966;C
2012;0;0;C#
2013;0;0;C#
2014;0;0;C#
2015;0;0;C#
2016;17;18;C#
2017;42;10;C#
2018;37;14;C#
2019;275;56;C#
2020;93;9;C#
2021;383;150;C#
2022;1615;365;C#
2023;779;86;C#
2024;1792;500;C#
2025;21853;4180;C#
2012;0;0;C++
2013;27;2;C++
2014;0;0;C++
2015;0;0;C++
2016;26;12;C++
2017;1344;177;C++
2018;734;207;C++
2019;3268;755;C++
2020;3994;579;C++
2021;2290;393;C++
2022;5672;853;C++
2023;4357;863;C++
2024;5284;657;C++
2025;35470;11529;C++
2012;0;0;COBOL
2013;0;0;COBOL
2014;0;0;COBOL
2015;0;0;COBOL
2016;0;0;COBOL
2017;0;0;COBOL
2018;0;0;COBOL
2019;100;35;COBOL
2020;0;0;COBOL
2021;0;0;COBOL
2022;0;0;COBOL
2023;0;0;COBOL
2024;0;0;COBOL
2025;0;0;COBOL
2012;0;0;CSS
2013;0;0;CSS
2014;0;0;CSS
2015;0;0;CSS
2016;0;0;CSS
2017;0;0;CSS
2018;0;0;CSS
2019;0;0;CSS
2020;0;0;CSS
2021;0;0;CSS
2022;0;0;CSS
2023;0;0;CSS
2024;510;55;CSS
2025;0;0;CSS
2012;58;4;Clojure
2013;0;0;Clojure
2014;0;0;Clojure
2015;21;4;Clojure
2016;0;0;Clojure
2017;0;0;Clojure
2018;0;0;Clojure
2019;156;22;Clojure
2020;0;0;Clojure
2021;203;10;Clojure
2022;0;0;Clojure
2023;924;48;Clojure
2024;0;0;Clojure
2025;2881;183;Clojure
2012;0;0;CoffeeScript
2013;0;0;CoffeeScript
2014;0;0;CoffeeScript
2015;0;0;CoffeeScript
2016;0;0;CoffeeScript
2017;0;0;CoffeeScript
2018;0;0;CoffeeScript
2019;0;0;CoffeeScript
2020;128;12;CoffeeScript
2021;0;0;CoffeeScript
2022;0;0;CoffeeScript
2023;0;0;CoffeeScript
2024;0;0;CoffeeScript
2025;0;0;CoffeeScript
2012;0;0;Crystal
2013;0;0;Crystal
2014;0;0;Crystal
2015;0;0;Crystal
2016;0;0;Crystal
2017;60;4;Crystal
2018;112;13;Crystal
2019;0;0;Crystal
2020;0;0;Crystal
2021;75;3;Crystal
