,year,stars,forks,topic
0,2013,0,0,1000genomes
1,2016,0,0,1000genomes
2,2017,0,0,1000genomes
3,2018,0,0,1000genomes
4,2019,0,0,1000genomes
5,2020,0,0,1000genomes
6,2021,0,0,1000genomes
7,2022,20,4,1000genomes
8,2023,20,0,1000genomes
9,2024,20,0,1000genomes
10,2025,20,0,1000genomes
11,2013,0,0,10x
12,2016,0,0,10x
13,2017,0,0,10x
14,2018,0,0,10x
15,2019,0,0,10x
16,2020,0,0,10x
17,2021,0,0,10x
18,2022,0,0,10x
19,2023,0,0,10x
20,2024,857,181,10x
21,2025,857,0,10x
22,2013,0,0,10xgenomics
23,2016,0,0,10xgenomics
24,2017,0,0,10xgenomics
25,2018,0,0,10xgenomics
26,2019,0,0,10xgenomics
27,2020,0,0,10xgenomics
28,2021,0,0,10xgenomics
29,2022,21,2,10xgenomics
30,2023,84,13,10xgenomics
31,2024,179,16,10xgenomics
32,2025,179,0,10xgenomics
33,2013,0,0,16s
34,2016,0,0,16s
35,2017,0,0,16s
36,2018,0,0,16s
37,2019,0,0,16s
38,2020,41,4,16s
39,2021,79,20,16s
40,2022,79,0,16s
41,2023,130,53,16s
42,2024,130,0,16s
43,2025,130,0,16s
44,2013,0,0,16s-rrna
45,2016,0,0,16s-rrna
46,2017,0,0,16s-rrna
47,2018,0,0,16s-rrna
48,2019,0,0,16s-rrna
49,2020,0,0,16s-rrna
50,2021,0,0,16s-rrna
51,2022,0,0,16s-rrna
52,2023,0,0,16s-rrna
53,2024,122,39,16s-rrna
54,2025,122,0,16s-rrna
55,2013,0,0,2019-ncov
56,2016,0,0,2019-ncov
57,2017,0,0,2019-ncov
58,2018,0,0,2019-ncov
59,2019,0,0,2019-ncov
60,2020,0,0,2019-ncov
61,2021,0,0,2019-ncov
62,2022,0,0,2019-ncov
63,2023,118,24,2019-ncov
64,2024,118,0,2019-ncov
65,2025,118,0,2019-ncov
66,2013,0,0,23andme
67,2016,0,0,23andme
68,2017,64,6,23andme
69,2018,64,0,23andme
70,2019,185,7,23andme
71,2020,185,0,23andme
72,2021,185,0,23andme
73,2022,185,0,23andme
74,2023,185,0,23andme
75,2024,185,0,23andme
76,2025,185,0,23andme
77,2013,0,0,2d-images-of-compounds
78,2016,0,0,2d-images-of-compounds
79,2017,0,0,2d-images-of-compounds
80,2018,0,0,2d-images-of-compounds
81,2019,0,0,2d-images-of-compounds
82,2020,0,0,2d-images-of-compounds
83,2021,0,0,2d-images-of-compounds
84,2022,0,0,2d-images-of-compounds
85,2023,0,0,2d-images-of-compounds
86,2024,114,44,2d-images-of-compounds
87,2025,114,0,2d-images-of-compounds
88,2013,0,0,3c
89,2016,0,0,3c
90,2017,0,0,3c
91,2018,26,10,3c
92,2019,26,0,3c
93,2020,26,0,3c
94,2021,26,0,3c
95,2022,26,0,3c
96,2023,26,0,3c
97,2024,26,0,3c
98,2025,26,0,3c
99,2013,0,0,3d
100,2016,0,0,3d
101,2017,0,0,3d
102,2018,0,0,3d
103,2019,0,0,3d
104,2020,0,0,3d
105,2021,0,0,3d
106,2022,20,5,3d
107,2023,20,0,3d
108,2024,20,0,3d
109,2025,20,0,3d
110,2013,0,0,3d-genome
111,2016,0,0,3d-genome
112,2017,0,0,3d-genome
113,2018,26,10,3d-genome
114,2019,26,0,3d-genome
115,2020,26,0,3d-genome
116,2021,26,0,3d-genome
117,2022,140,18,3d-genome
118,2023,140,0,3d-genome
119,2024,140,0,3d-genome
120,2025,613,193,3d-genome
121,2013,0,0,3d-genome-browser
122,2016,0,0,3d-genome-browser
123,2017,0,0,3d-genome-browser
124,2018,0,0,3d-genome-browser
125,2019,0,0,3d-genome-browser
126,2020,0,0,3d-genome-browser
127,2021,0,0,3d-genome-browser
128,2022,0,0,3d-genome-browser
129,2023,0,0,3d-genome-browser
130,2024,0,0,3d-genome-browser
131,2025,473,193,3d-genome-browser
132,2013,0,0,3d-point-clouds
133,2016,0,0,3d-point-clouds
134,2017,0,0,3d-point-clouds
135,2018,0,0,3d-point-clouds
136,2019,0,0,3d-point-clouds
137,2020,0,0,3d-point-clouds
138,2021,163,28,3d-point-clouds
139,2022,1350,156,3d-point-clouds
140,2023,1350,0,3d-point-clouds
141,2024,1350,0,3d-point-clouds
142,2025,1350,0,3d-point-clouds
143,2013,0,0,3d-structure
144,2016,0,0,3d-structure
145,2017,0,0,3d-structure
146,2018,0,0,3d-structure
147,2019,0,0,3d-structure
148,2020,0,0,3d-structure
149,2021,0,0,3d-structure
150,2022,0,0,3d-structure
151,2023,0,0,3d-structure
152,2024,123,42,3d-structure
153,2025,123,0,3d-structure
154,2013,0,0,acmg
155,2016,0,0,acmg
156,2017,0,0,acmg
157,2018,0,0,acmg
158,2019,0,0,acmg
159,2020,0,0,acmg
160,2021,0,0,acmg
161,2022,99,37,acmg
162,2023,99,0,acmg
163,2024,99,0,acmg
164,2025,99,0,acmg
165,2013,0,0,adapter
166,2016,0,0,adapter
167,2017,0,0,adapter
168,2018,0,0,adapter
169,2019,0,0,adapter
170,2020,0,0,adapter
171,2021,0,0,adapter
172,2022,0,0,adapter
173,2023,0,0,adapter
174,2024,0,0,adapter
175,2025,2257,366,adapter
176,2013,0,0,adapter-trimming
177,2016,0,0,adapter-trimming
178,2017,0,0,adapter-trimming
179,2018,0,0,adapter-trimming
180,2019,0,0,adapter-trimming
181,2020,212,53,adapter-trimming
182,2021,212,0,adapter-trimming
183,2022,212,0,adapter-trimming
184,2023,212,0,adapter-trimming
185,2024,212,0,adapter-trimming
186,2025,212,0,adapter-trimming
187,2013,0,0,admin
188,2016,0,0,admin
189,2017,0,0,admin
190,2018,0,0,admin
191,2019,0,0,admin
192,2020,0,0,admin
193,2021,0,0,admin
194,2022,0,0,admin
195,2023,472,59,admin
196,2024,472,0,admin
197,2025,472,0,admin
198,2013,0,0,adversarial-machine-learning
199,2016,0,0,adversarial-machine-learning
200,2017,0,0,adversarial-machine-learning
201,2018,0,0,adversarial-machine-learning
202,2019,0,0,adversarial-machine-learning
203,2020,0,0,adversarial-machine-learning
204,2021,29,3,adversarial-machine-learning
205,2022,29,0,adversarial-machine-learning
206,2023,29,0,adversarial-machine-learning
207,2024,29,0,adversarial-machine-learning
208,2025,29,0,adversarial-machine-learning
209,2013,0,0,adversarial-networks
210,2016,0,0,adversarial-networks
211,2017,0,0,adversarial-networks
212,2018,0,0,adversarial-networks
213,2019,0,0,adversarial-networks
214,2020,0,0,adversarial-networks
215,2021,29,3,adversarial-networks
216,2022,29,0,adversarial-networks
217,2023,29,0,adversarial-networks
218,2024,29,0,adversarial-networks
219,2025,29,0,adversarial-networks
220,2013,0,0,ai
221,2016,0,0,ai
222,2017,0,0,ai
223,2018,0,0,ai
224,2019,0,0,ai
225,2020,0,0,ai
226,2021,0,0,ai
227,2022,20,5,ai
228,2023,20,0,ai
229,2024,238,15,ai
230,2025,238,0,ai
231,2013,0,0,ai-scientist
232,2016,0,0,ai-scientist
233,2017,0,0,ai-scientist
234,2018,0,0,ai-scientist
235,2019,0,0,ai-scientist
236,2020,0,0,ai-scientist
237,2021,0,0,ai-scientist
