,name,stars,topics,language,selected_year
652,biopython/biopython,4848,"['bioinformatics', 'biopython', 'dna', 'genomics', 'phylogenetics', 'protein', 'protein-structure', 'python', 'sequence-alignment']",Python,2025
653,google/deepvariant,3582,"['bioinformatics', 'deep-learning', 'deep-neural-network', 'deepvariant', 'dna', 'genome', 'genomics', 'machine-learning', 'ngs', 'science', 'sequencing', 'tensorflow']",Python,2025
654,nextflow-io/nextflow,3250,"['aws', 'bioinformatics', 'cloud', 'dataflow', 'docker', 'groovy', 'hello', 'hpc', 'nextflow', 'pipeline', 'pipeline-framework', 'reproducible-research', 'reproducible-science', 'sge', 'singularity', 'singularity-containers', 'slurm', 'workflow-engine']",Groovy,2025
655,sokrypton/ColabFold,2570,"['bioinformatics', 'multiple-sequence-alignment', 'protein-structure', 'structure-prediction']",Jupyter Notebook,2025
656,K-Dense-AI/claude-scientific-skills,2469,"['ai-scientist', 'bioinformatics', 'chemoinformatics', 'claude', 'claude-skills', 'claudecode', 'clinical-research', 'computational-biology', 'data-analysis', 'drug-discovery', 'genomics', 'materials-science', 'metabolomics', 'proteomics', 'scientific-computing', 'scientific-visualization']",Python,2025
657,scverse/scanpy,2306,"['anndata', 'bioinformatics', 'data-science', 'machine-learning', 'python', 'scanpy', 'scverse', 'transcriptomics', 'visualize-data']",Python,2025
658,OpenGene/fastp,2257,"['adapter', 'bioinformatics', 'duplication', 'fastq', 'filter', 'filtering', 'illumina', 'merging', 'ngs', 'overlap', 'polyg', 'preprocessing', 'qc', 'quality', 'quality-control', 'sequencing', 'splitting', 'trimming', 'umi']",C++,2025
659,lh3/minimap2,2096,"['bioinformatics', 'genomics', 'sequence-alignment', 'spliced-alignment']",C,2025
660,soedinglab/MMseqs2,1923,"['alignment', 'bioinformatics', 'blast', 'linclust', 'metagenomics', 'mmseqs', 'profile-search', 'sequence-clustering', 'sequence-search', 'taxonomy']",C,2025
661,allenai/scispacy,1907,"['bioinformatics', 'biomedical', 'custom-pipes', 'nlp', 'scientific-documents', 'spacy']",Python,2025
662,broadinstitute/gatk,1898,"['bioinformatics', 'dna', 'gatk', 'genome', 'genomics', 'ngs', 'science', 'sequencing', 'spark']",Java,2025
663,bioconda/bioconda-recipes,1769,"['bioinformatics', 'conda', 'hacktoberfest', 'package-management']",Shell,2025
664,galaxyproject/galaxy,1714,"['bioinformatics', 'dna', 'genomics', 'hacktoberfest', 'ngs', 'pipeline', 'science', 'sequencing', 'usegalaxy', 'workflow', 'workflow-engine']",Python,2025
665,lh3/bwa,1687,"['bioinformatics', 'fm-index', 'genomics', 'sequence-alignment']",C,2025
666,lh3/seqtk,1519,"['bioinformatics', 'sequence-analysis']",C,2025
667,shenwei356/seqkit,1489,"['bioinformatics', 'cross-platform', 'fasta', 'fastq', 'golang', 'manipulation', 'sequence', 'tool', 'toolkit']",Go,2025
668,MultiQC/MultiQC,1399,"['analysis', 'bioconda', 'bioinformatics', 'data-visualization', 'multiqc', 'pypi', 'python', 'quality-control', 'reporting', 'seqera', 'vizualisation']",JavaScript,2025
669,crazyhottommy/getting-started-with-genomics-tools-and-resources,1347,"['bioinformatics', 'cancer-genomics', 'data-science']",Shell,2025
670,mims-harvard/TDC,1190,"['artificial-intelligence', 'benchmarks', 'bioinformatics', 'biology', 'biomedicine', 'biotech', 'cheminformatics', 'chemistry', 'datasets', 'deep-learning', 'drug-discovery', 'machine-learning', 'medicine', 'precision-medicine', 'therapeutics']",Jupyter Notebook,2025
375,lightaime/deep_gcns_torch,1187,"['3d-point-clouds', 'bioinformatics', 'cheminformatics', 'computer-vision', 'data-mining', 'deep-gcns', 'deep-learning', 'geometric-deep-learning', 'graph-convolutional-networks', 'graph-neural-networks', 'pytorch', 'science-research', 'social-network']",Python,2022
671,a-r-j/graphein,1152,"['bioinformatics', 'computational-biology', 'deep-learning', 'dgl', 'drug-discovery', 'gene-regulatory-networks', 'geometric-deep-learning', 'graph-neural-networks', 'interactome', 'interactomics', 'ppi-networks', 'protein', 'protein-data-bank', 'protein-design', 'protein-structure', 'python', 'pytorch', 'pytorch-geometric', 'rna', 'structural-biology']",Jupyter Notebook,2025
672,steineggerlab/foldseek,1131,"['alignments', 'bioinformatics', 'clustering', 'protein-structure']",C,2025
