,year,stars,stars_cumul,stars_percent,stars_cumul_percent,language
0,2013,0,0,0.0,0.0,AMPL
1,2016,0,0,0.0,0.0,AMPL
2,2017,0,0,0.0,0.0,AMPL
3,2018,0,0,0.0,0.0,AMPL
4,2019,0,0,0.0,0.0,AMPL
5,2020,0,0,0.0,0.0,AMPL
6,2021,0,0,0.0,0.0,AMPL
7,2022,0,0,0.0,0.0,AMPL
8,2023,0,0,0.0,0.0,AMPL
9,2024,488,488,2.491575615235372,1.689282747161451,AMPL
10,2025,0,488,0.0,0.4432293984614127,AMPL
11,2013,94,94,100.0,100.0,C
12,2016,0,94,0.0,25.895316804407713,C
13,2017,117,211,7.271597265382225,11.235356762513312,C
14,2018,45,256,2.4725274725274726,7.465733449985419,C
15,2019,277,533,10.8712715855573,12.202380952380953,C
16,2020,506,1039,10.025757875965919,13.680052666227782,C
17,2021,954,1993,13.702958919850616,16.59588641851944,C
18,2022,1085,3078,14.846743295019158,21.56972669936931,C
19,2023,314,3392,3.3756181466351323,20.421432871763997,C
20,2024,916,4308,4.676809966302461,14.912766546662976,C
21,2025,10715,15023,11.837816936419378,13.644744371077467,C
22,2013,0,0,0.0,0.0,C#
23,2016,0,0,0.0,0.0,C#
24,2017,0,0,0.0,0.0,C#
25,2018,155,155,8.516483516483516,4.520268299795859,C#
26,2019,0,155,0.0,3.5485347985347984,C#
27,2020,0,155,0.0,2.0408163265306123,C#
28,2021,0,155,0.0,1.2906986426846532,C#
29,2022,0,155,0.0,1.0861948142957254,C#
30,2023,0,155,0.0,0.9331727874774232,C#
31,2024,0,155,0.0,0.5365549709221823,C#
32,2025,0,155,0.0,0.14077982942934214,C#
33,2013,0,0,0.0,0.0,C++
34,2016,0,0,0.0,0.0,C++
35,2017,32,32,1.9888129272840271,1.703940362087327,C++
36,2018,57,89,3.131868131868132,2.595508894721493,C++
37,2019,301,390,11.813186813186812,8.928571428571429,C++
38,2020,677,1067,13.413909253021597,14.048716260697827,C++
39,2021,1735,2802,24.92099971272623,23.3325006245316,C++
40,2022,1223,4025,16.735084838533115,28.206026629292218,C++
41,2023,2149,6174,23.102558589550632,37.17037928958459,C++
42,2024,1926,8100,9.8335545798019,28.039324286901135,C++
43,2025,7870,15970,8.69469148759874,14.504863716042543,C++
44,2013,0,0,0.0,0.0,CSS
45,2016,0,0,0.0,0.0,CSS
46,2017,15,15,0.9322560596643878,0.7987220447284344,CSS
47,2018,0,15,0.0,0.4374453193350831,CSS
48,2019,0,15,0.0,0.3434065934065934,CSS
49,2020,0,15,0.0,0.19749835418038184,CSS
50,2021,0,15,0.0,0.12490632025980515,CSS
51,2022,40,55,0.5473453749315819,0.3854239663629993,CSS
52,2023,0,55,0.0,0.33112582781456956,CSS
53,2024,74,129,0.3778208924742163,0.44655220160620324,CSS
54,2025,0,129,0.0,0.11716514836377509,CSS
55,2013,0,0,0.0,0.0,Common Lisp
56,2016,0,0,0.0,0.0,Common Lisp
57,2017,0,0,0.0,0.0,Common Lisp
58,2018,0,0,0.0,0.0,Common Lisp
59,2019,54,54,2.119309262166405,1.2362637362637363,Common Lisp
60,2020,0,54,0.0,0.7109940750493746,Common Lisp
61,2021,0,54,0.0,0.44966275293529856,Common Lisp
62,2022,0,54,0.0,0.37841625788367206,Common Lisp
63,2023,0,54,0.0,0.325105358217941,Common Lisp
64,2024,0,54,0.0,0.1869288285793409,Common Lisp
65,2025,0,54,0.0,0.04904587605925469,Common Lisp
66,2013,0,0,0.0,0.0,Cuda
67,2016,0,0,0.0,0.0,Cuda
68,2017,0,0,0.0,0.0,Cuda
69,2018,0,0,0.0,0.0,Cuda
70,2019,0,0,0.0,0.0,Cuda
71,2020,0,0,0.0,0.0,Cuda
72,2021,0,0,0.0,0.0,Cuda
73,2022,29,29,0.3968253968253968,0.20322354590049055,Cuda
74,2023,0,29,0.0,0.17459361830222758,Cuda
75,2024,0,29,0.0,0.10038770423705344,Cuda
76,2025,0,29,0.0,0.026339451957747888,Cuda
77,2013,0,0,0.0,0.0,Cython
78,2016,0,0,0.0,0.0,Cython
79,2017,0,0,0.0,0.0,Cython
80,2018,0,0,0.0,0.0,Cython
81,2019,0,0,0.0,0.0,Cython
82,2020,0,0,0.0,0.0,Cython
83,2021,0,0,0.0,0.0,Cython
84,2022,0,0,0.0,0.0,Cython
85,2023,0,0,0.0,0.0,Cython
86,2024,0,0,0.0,0.0,Cython
87,2025,1294,1294,1.429597304314202,1.1752845114939918,Cython
88,2013,0,0,0.0,0.0,D
89,2016,0,0,0.0,0.0,D
90,2017,0,0,0.0,0.0,D
91,2018,15,15,0.8241758241758242,0.4374453193350831,D
92,2019,0,15,0.0,0.3434065934065934,D
93,2020,0,15,0.0,0.19749835418038184,D
94,2021,49,64,0.7038207411663315,0.532933633108502,D
95,2022,0,64,0.0,0.44849334267694463,D
96,2023,0,64,0.0,0.38531005418422637,D
97,2024,599,663,3.0583069539466967,2.2950706175574633,D
98,2025,0,663,0.0,0.6021743671719603,D
99,2013,0,0,0.0,0.0,Dockerfile
100,2016,0,0,0.0,0.0,Dockerfile
101,2017,0,0,0.0,0.0,Dockerfile
102,2018,0,0,0.0,0.0,Dockerfile
103,2019,0,0,0.0,0.0,Dockerfile
104,2020,0,0,0.0,0.0,Dockerfile
105,2021,0,0,0.0,0.0,Dockerfile
106,2022,0,0,0.0,0.0,Dockerfile
107,2023,59,59,0.6342721995269834,0.35520770620108366,Dockerfile
108,2024,0,59,0.0,0.20423705344779838,Dockerfile
109,2025,765,824,0.8451637850080098,0.7484037383856641,Dockerfile
110,2013,0,0,0.0,0.0,Go
111,2016,14,14,5.204460966542751,3.8567493112947657,Go
112,2017,0,14,0.0,0.7454739084132056,Go
113,2018,30,44,1.6483516483516485,1.2831729367162437,Go
114,2019,40,84,1.5698587127158554,1.9230769230769231,Go
115,2020,121,205,2.3974638399048938,2.699144173798552,Go
116,2021,55,260,0.790002872737719,2.1650428845032894,Go
117,2022,0,260,0.0,1.8220042046250877,Go
118,2023,89,349,0.9567834874220598,2.1011438892233594,Go
119,2024,1835,2184,9.368936995813335,7.560232622542232,Go
120,2025,4944,7128,5.462078108600784,6.474055639821619,Go
121,2013,0,0,0.0,0.0,Groovy
122,2016,12,12,4.4609665427509295,3.3057851239669422,Groovy
123,2017,0,12,0.0,0.6389776357827476,Groovy
124,2018,39,51,2.142857142857143,1.4873140857392826,Groovy
125,2019,0,51,0.0,1.1675824175824177,Groovy
126,2020,0,51,0.0,0.6714944042132982,Groovy
127,2021,0,51,0.0,0.42468148888333745,Groovy
128,2022,0,51,0.0,0.35739313244569026,Groovy
129,2023,75,126,0.8062782197376908,0.7585791691751956,Groovy
130,2024,142,268,0.7250076585316042,0.9277208529493215,Groovy
131,2025,3250,3518,3.590565099707231,3.1952479995640366,Groovy
132,2013,0,0,0.0,0.0,HTML
133,2016,0,0,0.0,0.0,HTML
134,2017,63,63,3.9154754505904292,3.3546325878594248,HTML
135,2018,72,135,3.9560439560439558,3.937007874015748,HTML
136,2019,148,283,5.808477237048666,6.47893772893773,HTML
137,2020,200,483,3.962750148603131,6.3594470046082945,HTML
138,2021,254,737,3.6483769031887388,6.137063868765093,HTML
139,2022,246,983,3.3661740558292284,6.888577435178697,HTML
140,2023,168,1151,1.8060632122124276,6.929560505719447,HTML
141,2024,840,1991,4.288777698355969,6.8921351426197734,HTML
142,2025,900,2891,0.9943103353035408,2.6257708830982462,HTML
143,2013,0,0,0.0,0.0,Haskell
144,2016,0,0,0.0,0.0,Haskell
145,2017,0,0,0.0,0.0,Haskell
146,2018,0,0,0.0,0.0,Haskell
147,2019,0,0,0.0,0.0,Haskell
148,2020,0,0,0.0,0.0,Haskell
149,2021,0,0,0.0,0.0,Haskell
150,2022,31,31,0.4241926655719759,0.21723896285914504,Haskell
151,2023,0,31,0.0,0.18663455749548466,Haskell
152,2024,0,31,0.0,0.10731099418443645,Haskell
153,2025,0,31,0.0,0.028155965885868432,Haskell
154,2013,0,0,0.0,0.0,Java
155,2016,120,120,44.60966542750929,33.057851239669425,Java
156,2017,32,152,1.9888129272840271,8.093716719914804,Java
157,2018,53,205,2.912087912087912,5.978419364246136,Java
158,2019,0,205,0.0,4.693223443223443,Java
159,2020,0,205,0.0,2.699144173798552,Java
160,2021,159,364,2.2838264866417695,3.031060038304605,Java
161,2022,34,398,0.4652435686918446,2.7890679747722493,Java
162,2023,116,514,1.2470436465276284,3.094521372667068,Java
163,2024,116,630,0.5922597773920146,2.1808363334256438,Java
164,2025,3589,4219,3.9650886593382313,3.8319361313702873,Java
165,2013,0,0,0.0,0.0,JavaScript
166,2016,0,0,0.0,0.0,JavaScript
167,2017,10,10,0.6215040397762586,0.5324813631522897,JavaScript
168,2018,135,145,7.417582417582418,4.228638086905804,JavaScript
169,2019,554,699,21.7425431711146,16.002747252747252,JavaScript
170,2020,0,699,0.0,9.203423304805794,JavaScript
171,2021,172,871,2.470554438379776,7.252893663086018,JavaScript
172,2022,121,992,1.655719759168035,6.951646811492641,JavaScript
173,2023,624,1616,6.708234788217587,9.729078868151717,JavaScript
174,2024,215,1831,1.0977228632696825,6.338271946829133,JavaScript
175,2025,4010,5841,4.430204938407998,5.305128927076049,JavaScript
176,2013,0,0,0.0,0.0,Julia
177,2016,0,0,0.0,0.0,Julia
178,2017,61,61,3.791174642635177,3.2481363152289675,Julia
179,2018,32,93,1.7582417582417582,2.712160979877515,Julia
180,2019,0,93,0.0,2.129120879120879,Julia
181,2020,71,164,1.4067763027541114,2.1593153390388413,Julia
182,2021,21,185,0.30163746049985635,1.5405112832042636,Julia
183,2022,88,273,1.20415982484948,1.9131044148563419,Julia
184,2023,310,583,3.3326166415824554,3.5099337748344372,Julia
185,2024,0,583,0.0,2.0181390196621436,Julia
186,2025,514,1097,0.5678616803844666,0.9963578895741183,Julia
187,2013,0,0,0.0,0.0,Jupyter Notebook
188,2016,16,16,5.947955390334572,4.40771349862259,Jupyter Notebook
