,year,stars,topic
0,2013,0,1000genomes
1,2016,0,1000genomes
2,2017,0,1000genomes
3,2018,0,1000genomes
4,2019,0,1000genomes
5,2020,0,1000genomes
6,2021,0,1000genomes
7,2022,20,1000genomes
8,2023,20,1000genomes
9,2024,20,1000genomes
10,2025,20,1000genomes
11,2013,0,10x
12,2016,0,10x
13,2017,0,10x
14,2018,0,10x
15,2019,0,10x
16,2020,0,10x
17,2021,0,10x
18,2022,0,10x
19,2023,0,10x
20,2024,855,10x
21,2025,855,10x
22,2013,0,10xgenomics
23,2016,0,10xgenomics
24,2017,0,10xgenomics
25,2018,0,10xgenomics
26,2019,0,10xgenomics
27,2020,0,10xgenomics
28,2021,0,10xgenomics
29,2022,21,10xgenomics
30,2023,84,10xgenomics
31,2024,179,10xgenomics
32,2025,179,10xgenomics
33,2013,0,16s
34,2016,0,16s
35,2017,0,16s
36,2018,0,16s
37,2019,0,16s
38,2020,41,16s
39,2021,79,16s
40,2022,79,16s
41,2023,130,16s
42,2024,130,16s
43,2025,130,16s
44,2013,0,16s-rrna
45,2016,0,16s-rrna
46,2017,0,16s-rrna
47,2018,0,16s-rrna
48,2019,0,16s-rrna
49,2020,0,16s-rrna
50,2021,0,16s-rrna
51,2022,0,16s-rrna
52,2023,0,16s-rrna
53,2024,122,16s-rrna
54,2025,122,16s-rrna
55,2013,0,2019-ncov
56,2016,0,2019-ncov
57,2017,0,2019-ncov
58,2018,0,2019-ncov
59,2019,0,2019-ncov
60,2020,0,2019-ncov
61,2021,0,2019-ncov
62,2022,0,2019-ncov
63,2023,118,2019-ncov
64,2024,118,2019-ncov
65,2025,118,2019-ncov
66,2013,0,23andme
67,2016,0,23andme
68,2017,64,23andme
69,2018,64,23andme
70,2019,185,23andme
71,2020,185,23andme
72,2021,185,23andme
73,2022,185,23andme
74,2023,185,23andme
75,2024,185,23andme
76,2025,185,23andme
77,2013,0,2d-images-of-compounds
78,2016,0,2d-images-of-compounds
79,2017,0,2d-images-of-compounds
80,2018,0,2d-images-of-compounds
81,2019,0,2d-images-of-compounds
82,2020,0,2d-images-of-compounds
83,2021,0,2d-images-of-compounds
84,2022,0,2d-images-of-compounds
85,2023,0,2d-images-of-compounds
86,2024,114,2d-images-of-compounds
87,2025,114,2d-images-of-compounds
88,2013,0,3c
89,2016,0,3c
90,2017,0,3c
91,2018,26,3c
92,2019,26,3c
93,2020,26,3c
94,2021,26,3c
95,2022,26,3c
96,2023,26,3c
97,2024,26,3c
98,2025,26,3c
99,2013,0,3d
100,2016,0,3d
101,2017,0,3d
102,2018,0,3d
103,2019,0,3d
104,2020,0,3d
105,2021,0,3d
106,2022,20,3d
107,2023,20,3d
108,2024,20,3d
109,2025,20,3d
110,2013,0,3d-genome
111,2016,0,3d-genome
112,2017,0,3d-genome
113,2018,26,3d-genome
114,2019,26,3d-genome
115,2020,26,3d-genome
116,2021,26,3d-genome
117,2022,140,3d-genome
118,2023,140,3d-genome
119,2024,140,3d-genome
120,2025,611,3d-genome
121,2013,0,3d-genome-browser
122,2016,0,3d-genome-browser
123,2017,0,3d-genome-browser
124,2018,0,3d-genome-browser
125,2019,0,3d-genome-browser
126,2020,0,3d-genome-browser
127,2021,0,3d-genome-browser
128,2022,0,3d-genome-browser
129,2023,0,3d-genome-browser
130,2024,0,3d-genome-browser
131,2025,471,3d-genome-browser
132,2013,0,3d-point-clouds
133,2016,0,3d-point-clouds
134,2017,0,3d-point-clouds
135,2018,0,3d-point-clouds
136,2019,0,3d-point-clouds
137,2020,0,3d-point-clouds
138,2021,163,3d-point-clouds
139,2022,1350,3d-point-clouds
140,2023,1350,3d-point-clouds
141,2024,1350,3d-point-clouds
142,2025,1350,3d-point-clouds
143,2013,0,3d-structure
144,2016,0,3d-structure
145,2017,0,3d-structure
146,2018,0,3d-structure
147,2019,0,3d-structure
148,2020,0,3d-structure
149,2021,0,3d-structure
150,2022,0,3d-structure
151,2023,0,3d-structure
152,2024,123,3d-structure
153,2025,123,3d-structure
154,2013,0,acmg
155,2016,0,acmg
156,2017,0,acmg
157,2018,0,acmg
158,2019,0,acmg
159,2020,0,acmg
160,2021,0,acmg
161,2022,99,acmg
162,2023,99,acmg
163,2024,99,acmg
164,2025,99,acmg
165,2013,0,adapter
166,2016,0,adapter
167,2017,0,adapter
168,2018,0,adapter
169,2019,0,adapter
170,2020,0,adapter
171,2021,0,adapter
172,2022,0,adapter
173,2023,0,adapter
174,2024,0,adapter
175,2025,2253,adapter
176,2013,0,adapter-trimming
177,2016,0,adapter-trimming
178,2017,0,adapter-trimming
179,2018,0,adapter-trimming
180,2019,0,adapter-trimming
181,2020,212,adapter-trimming
182,2021,212,adapter-trimming
183,2022,212,adapter-trimming
184,2023,212,adapter-trimming
185,2024,212,adapter-trimming
186,2025,212,adapter-trimming
187,2013,0,admin
188,2016,0,admin
189,2017,0,admin
190,2018,0,admin
191,2019,0,admin
192,2020,0,admin
193,2021,0,admin
194,2022,0,admin
195,2023,472,admin
196,2024,472,admin
197,2025,472,admin
198,2013,0,adversarial-machine-learning
199,2016,0,adversarial-machine-learning
200,2017,0,adversarial-machine-learning
201,2018,0,adversarial-machine-learning
202,2019,0,adversarial-machine-learning
203,2020,0,adversarial-machine-learning
204,2021,28,adversarial-machine-learning
205,2022,28,adversarial-machine-learning
206,2023,28,adversarial-machine-learning
207,2024,28,adversarial-machine-learning
208,2025,28,adversarial-machine-learning
209,2013,0,adversarial-networks
210,2016,0,adversarial-networks
211,2017,0,adversarial-networks
212,2018,0,adversarial-networks
213,2019,0,adversarial-networks
214,2020,0,adversarial-networks
215,2021,28,adversarial-networks
216,2022,28,adversarial-networks
217,2023,28,adversarial-networks
218,2024,28,adversarial-networks
219,2025,28,adversarial-networks
220,2013,0,ai
221,2016,0,ai
222,2017,0,ai
223,2018,0,ai
224,2019,0,ai
225,2020,0,ai
226,2021,0,ai
227,2022,20,ai
228,2023,20,ai
229,2024,234,ai
230,2025,234,ai
231,2013,0,ai-scientist
232,2016,0,ai-scientist
233,2017,0,ai-scientist
234,2018,0,ai-scientist
235,2019,0,ai-scientist
236,2020,0,ai-scientist
237,2021,0,ai-scientist
238,2022,0,ai-scientist
239,2023,0,ai-scientist
240,2024,0,ai-scientist
241,2025,2117,ai-scientist
242,2013,0,ai4science
243,2016,0,ai4science
244,2017,0,ai4science
245,2018,0,ai4science
246,2019,0,ai4science
247,2020,0,ai4science
248,2021,0,ai4science
249,2022,0,ai4science
250,2023,34,ai4science
251,2024,34,ai4science
252,2025,34,ai4science
253,2013,0,algorithm
254,2016,0,algorithm
255,2017,0,algorithm
256,2018,21,algorithm
257,2019,21,algorithm
258,2020,21,algorithm
259,2021,95,algorithm
260,2022,236,algorithm
261,2023,236,algorithm
262,2024,500,algorithm
263,2025,500,algorithm
264,2013,0,algorithms
265,2016,0,algorithms
266,2017,0,algorithms
267,2018,80,algorithms
268,2019,117,algorithms
269,2020,246,algorithms
270,2021,347,algorithms
271,2022,374,algorithms
272,2023,374,algorithms
273,2024,511,algorithms
274,2025,511,algorithms
275,2013,19,alignment
276,2016,19,alignment
277,2017,19,alignment
278,2018,32,alignment
279,2019,52,alignment
280,2020,148,alignment
281,2021,347,alignment
282,2022,438,alignment
283,2023,693,alignment
284,2024,1628,alignment
285,2025,4152,alignment
286,2013,0,alignment-algorithm
287,2016,0,alignment-algorithm
288,2017,0,alignment-algorithm
289,2018,13,alignment-algorithm
290,2019,13,alignment-algorithm
291,2020,13,alignment-algorithm
292,2021,13,alignment-algorithm
293,2022,13,alignment-algorithm
294,2023,13,alignment-algorithm
295,2024,144,alignment-algorithm
296,2025,144,alignment-algorithm
297,2013,0,alignment-free
298,2016,0,alignment-free
299,2017,0,alignment-free
300,2018,0,alignment-free
301,2019,0,alignment-free
302,2020,19,alignment-free
303,2021,19,alignment-free
304,2022,19,alignment-free
305,2023,66,alignment-free
306,2024,66,alignment-free
307,2025,66,alignment-free
308,2013,0,alignment-path
309,2016,0,alignment-path
310,2017,0,alignment-path
311,2018,0,alignment-path
312,2019,0,alignment-path
313,2020,0,alignment-path
314,2021,0,alignment-path
315,2022,0,alignment-path
316,2023,0,alignment-path
317,2024,0,alignment-path
318,2025,573,alignment-path
319,2013,0,alignments
320,2016,0,alignments
321,2017,0,alignments
322,2018,0,alignments
323,2019,0,alignments
324,2020,0,alignments
325,2021,0,alignments
326,2022,0,alignments
327,2023,0,alignments
328,2024,0,alignments
329,2025,1126,alignments
330,2013,0,alk
331,2016,0,alk
332,2017,0,alk
333,2018,0,alk
334,2019,0,alk
335,2020,0,alk
336,2021,0,alk
337,2022,130,alk
338,2023,130,alk
339,2024,130,alk
340,2025,130,alk
341,2013,0,allele-specific
342,2016,0,allele-specific
343,2017,0,allele-specific
344,2018,0,allele-specific
345,2019,0,allele-specific
346,2020,0,allele-specific
347,2021,0,allele-specific
348,2022,0,allele-specific
349,2023,61,allele-specific
350,2024,61,allele-specific
351,2025,61,allele-specific
352,2013,0,alliance
353,2016,0,alliance
354,2017,0,alliance
355,2018,99,alliance
356,2019,99,alliance
357,2020,99,alliance
358,2021,99,alliance
359,2022,99,alliance
360,2023,99,alliance
361,2024,99,alliance
362,2025,99,alliance
363,2013,0,allmaps
364,2016,0,allmaps
365,2017,0,allmaps
366,2018,0,allmaps
367,2019,0,allmaps
368,2020,0,allmaps
369,2021,0,allmaps
370,2022,0,allmaps
371,2023,0,allmaps
372,2024,0,allmaps
373,2025,879,allmaps
374,2013,0,alphafold
375,2016,0,alphafold
376,2017,0,alphafold
377,2018,0,alphafold
378,2019,0,alphafold
379,2020,0,alphafold
380,2021,0,alphafold
381,2022,0,alphafold
382,2023,75,alphafold
383,2024,192,alphafold
384,2025,192,alphafold
385,2013,0,alphafold2
386,2016,0,alphafold2
387,2017,0,alphafold2
388,2018,0,alphafold2
389,2019,0,alphafold2
390,2020,0,alphafold2
391,2021,0,alphafold2
392,2022,0,alphafold2
393,2023,0,alphafold2
394,2024,283,alphafold2
395,2025,283,alphafold2
396,2013,0,alphapept-ecosystem
397,2016,0,alphapept-ecosystem
398,2017,0,alphapept-ecosystem
399,2018,0,alphapept-ecosystem
400,2019,0,alphapept-ecosystem
401,2020,0,alphapept-ecosystem
402,2021,0,alphapept-ecosystem
403,2022,0,alphapept-ecosystem
404,2023,0,alphapept-ecosystem
405,2024,183,alphapept-ecosystem
406,2025,183,alphapept-ecosystem
407,2013,0,alu
408,2016,0,alu
409,2017,0,alu
410,2018,0,alu
411,2019,0,alu
412,2020,0,alu
413,2021,19,alu
414,2022,19,alu
415,2023,19,alu
416,2024,19,alu
417,2025,19,alu
418,2013,0,amplicon
419,2016,0,amplicon
420,2017,21,amplicon
421,2018,21,amplicon
422,2019,21,amplicon
423,2020,41,amplicon
424,2021,41,amplicon
425,2022,41,amplicon
426,2023,41,amplicon
427,2024,41,amplicon
428,2025,1302,amplicon
429,2013,0,amplicon-sequencing
430,2016,0,amplicon-sequencing
431,2017,0,amplicon-sequencing
432,2018,0,amplicon-sequencing
433,2019,0,amplicon-sequencing
434,2020,0,amplicon-sequencing
435,2021,0,amplicon-sequencing
436,2022,0,amplicon-sequencing
437,2023,0,amplicon-sequencing
438,2024,122,amplicon-sequencing
439,2025,122,amplicon-sequencing
440,2013,0,amr
441,2016,0,amr
442,2017,0,amr
443,2018,0,amr
444,2019,0,amr
445,2020,0,amr
446,2021,0,amr
447,2022,0,amr
448,2023,75,amr
449,2024,75,amr
450,2025,75,amr
451,2013,0,analyses
452,2016,0,analyses
453,2017,0,analyses
454,2018,0,analyses
455,2019,0,analyses
456,2020,0,analyses
457,2021,0,analyses
458,2022,0,analyses
459,2023,50,analyses
460,2024,50,analyses
461,2025,50,analyses
462,2013,0,analysis
463,2016,0,analysis
464,2017,24,analysis
465,2018,37,analysis
466,2019,74,analysis
467,2020,74,analysis
468,2021,74,analysis
469,2022,74,analysis
470,2023,238,analysis
471,2024,415,analysis
472,2025,1815,analysis
473,2013,0,analytical-chemistry
474,2016,0,analytical-chemistry
475,2017,0,analytical-chemistry
476,2018,0,analytical-chemistry
477,2019,0,analytical-chemistry
478,2020,0,analytical-chemistry
479,2021,53,analytical-chemistry
480,2022,53,analytical-chemistry
481,2023,53,analytical-chemistry
482,2024,53,analytical-chemistry
483,2025,53,analytical-chemistry
484,2013,0,analytics
485,2016,0,analytics
486,2017,0,analytics
487,2018,0,analytics
488,2019,0,analytics
489,2020,0,analytics
490,2021,0,analytics
491,2022,37,analytics
492,2023,37,analytics
493,2024,37,analytics
494,2025,37,analytics
495,2013,0,animal-movement
496,2016,0,animal-movement
497,2017,0,animal-movement
498,2018,0,animal-movement
499,2019,0,animal-movement
500,2020,108,animal-movement
501,2021,108,animal-movement
502,2022,108,animal-movement
503,2023,108,animal-movement
504,2024,108,animal-movement
505,2025,108,animal-movement
506,2013,0,animal-science
507,2016,0,animal-science
508,2017,0,animal-science
509,2018,0,animal-science
510,2019,0,animal-science
511,2020,108,animal-science
512,2021,108,animal-science
513,2022,108,animal-science
514,2023,108,animal-science
515,2024,108,animal-science
516,2025,108,animal-science
517,2013,0,animal-tracking
518,2016,0,animal-tracking
519,2017,0,animal-tracking
520,2018,0,animal-tracking
521,2019,0,animal-tracking
522,2020,108,animal-tracking
523,2021,108,animal-tracking
524,2022,108,animal-tracking
525,2023,108,animal-tracking
526,2024,108,animal-tracking
527,2025,108,animal-tracking
528,2013,0,animation-library
529,2016,0,animation-library
530,2017,0,animation-library
531,2018,0,animation-library
532,2019,20,animation-library
533,2020,20,animation-library
534,2021,20,animation-library
535,2022,20,animation-library
536,2023,20,animation-library
537,2024,20,animation-library
538,2025,20,animation-library
539,2013,0,anm
540,2016,0,anm
541,2017,0,anm
542,2018,0,anm
543,2019,0,anm
544,2020,24,anm
545,2021,24,anm
546,2022,24,anm
547,2023,24,anm
548,2024,24,anm
549,2025,24,anm
550,2013,0,anndata
551,2016,0,anndata
552,2017,0,anndata
553,2018,0,anndata
554,2019,0,anndata
555,2020,0,anndata
